AppNo,Region,Area,Activity,Guarantor,Collateral,Collateral_valuation,Age,Properties_Status,Properties_Total,Amount,Term,Historic_Loans,Current_Loans,Max_Arrears,Defaulter
350168,5,30,19,0,0,,18,A,1,6165,28,1,1,0,1
350169,8,15,2,0,1,911,49,D,3,3280,48,7,1,101,0
350170,11,5,14,0,1,7349,28,A,2,40062,21,8,4,2,0
350171,14,35,14,0,1,1774,32,D,2,2282,12,2,2,0,0
350172,11,25,14,1,0,,62,B,2,5316,24,7,1,81,0
350173,10,30,1,0,1,2356,37,D,5,2520,23,10,,78,0
350174,8,40,1,0,1,11686,49,B,1,22494,47,6,1,0,0
350175,5,40,1,0,0,,42,B,1,5619,24,2,,5,0
350176,6,20,14,0,0,,40,D,1,1703,31,3,1,0,0
350177,11,25,,0,0,,51,B,2,66836,22,4,2,0,0
350178,10,5,18,0,0,,43,B,2,18661,34,4,,54,0
350179,9,95,14,0,0,,54,D,1,13051,36,2,2,0,0
350180,9,10,18,0,0,,45,B,4,8602,23,3,1,146,0
350181,10,45,10,0,1,7313,51,B,1,6078,12,2,1,0,0
350182,9,35,14,0,1,1900,22,D,2,3367,24,1,1,0,0
350183,10,45,10,0,1,3057,32,B,3,6102,11,17,1,10,0
350184,8,35,1,0,1,10034,42,B,1,11562,24,11,,176,0
350185,10,65,1,0,1,3128,45,B,1,3606,13,2,,0,0
350186,9,75,14,0,0,,31,A,3,8069,23,15,1,0,0
350187,4,10,8,0,1,9271,50,B,3,10849,15,1,1,0,0
350188,9,30,1,0,1,1199,41,B,1,1348,22,1,1,0,0
350189,10,45,1,0,1,5701,28,D,3,7295,23,5,3,0,0
350190,10,75,1,0,0,,30,B,2,2181,20,6,3,32,0
350191,9,65,14,0,1,14768,47,D,1,16542,13,11,3,107,0
350192,10,45,14,0,1,3855,50,B,3,5520,23,11,9,0,0
350193,9,80,1,0,1,1176,36,B,1,2868,31,1,1,0,1
350194,9,30,14,0,0,,39,B,1,4745,23,4,1,0,0
350195,14,40,14,0,0,,43,B,3,10469,11,1,1,0,0
350196,11,15,,0,1,1806,47,B,1,3160,21,4,,19,0
350197,3,10,2,0,0,,34,A,3,3768,24,8,2,0,0
350198,9,15,1,0,1,2155,27,C,2,2274,22,4,1,0,0
350199,10,55,,0,0,,47,B,1,27044,36,1,,0,1
350200,14,60,14,0,1,2498,52,B,1,3535,23,6,1,0,0
350201,7,40,8,0,0,,33,A,4,15437,23,2,1,0,0
350202,7,35,14,0,1,7853,44,B,2,9460,23,3,2,0,0
350203,8,30,1,0,1,5946,50,B,2,9058,46,9,4,0,0
350204,13,20,2,0,1,25026,39,A,2,33270,46,3,,224,0
350205,10,25,14,0,1,934,43,B,3,2417,11,6,2,0,0
350206,8,40,1,0,1,5474,33,A,2,7075,35,2,2,0,0
350207,10,90,1,0,0,,28,D,1,2553,22,2,1,0,0
350208,7,40,8,0,0,,47,B,2,3670,20,1,1,0,0
350209,10,95,1,0,1,2682,28,B,1,5597,24,2,1,14,1
350210,5,20,8,0,1,34074,49,A,2,36138,36,4,,0,0
350211,10,20,17,0,1,6085,30,B,2,4740,22,3,,0,0
350212,14,40,14,0,1,38127,63,B,1,40582,12,6,1,168,0
350213,10,65,14,0,1,1668,54,B,1,1204,11,5,2,0,0
350214,11,5,19,0,1,3080,55,B,1,7742,24,1,1,0,0
350215,14,40,14,0,1,9133,53,B,1,8105,21,5,1,62,0
350216,7,5,3,1,0,,43,B,2,4399,21,8,,240,0
350217,14,85,5,0,0,,54,B,1,2607,12,1,1,0,0
350218,10,55,,0,1,1383,36,D,1,1162,12,3,3,0,0
350219,7,25,19,0,1,6984,57,D,7,9481,19,13,1,0,0
350220,9,20,18,0,0,,49,B,2,6703,23,2,,43,0
350221,10,55,1,0,1,2734,46,B,1,3355,23,2,,0,0
350222,10,55,14,0,1,13935,52,B,1,14058,12,4,4,0,0
350223,9,35,9,0,1,2514,33,A,2,4643,23,4,1,517,0
350224,10,5,1,0,1,15324,45,D,3,24945,44,11,2,0,0
350225,10,15,17,1,0,,38,B,1,7619,23,2,1,0,0
350226,10,15,1,0,0,,40,B,2,3773,22,2,,0,0
350227,9,30,14,0,1,21206,36,B,3,20429,34,4,1,46,0
350228,9,55,14,0,1,7963,53,B,1,5826,24,6,1,413,1
350229,6,35,14,0,1,2530,50,B,1,8210,35,1,,0,0
350230,10,15,1,1,0,,28,B,1,4192,23,5,3,223,0
350231,9,30,14,0,1,13505,45,B,2,12319,23,11,,5,0
350232,9,57,14,0,0,,60,B,2,4279,36,1,1,0,0
350233,7,20,18,0,1,6580,38,C,1,12095,23,1,1,0,0
350234,7,20,1,1,0,,53,D,2,5746,35,1,1,0,1
350235,10,5,14,0,1,9029,37,B,4,8787,23,5,2,55,0
350236,7,25,14,0,0,,53,B,1,3846,21,1,1,0,0
350237,10,5,1,0,1,3377,25,D,4,2941,23,8,1,41,0
350238,14,85,14,0,1,4130,49,D,1,4312,23,4,2,0,0
350239,1,10,2,1,0,,21,B,1,13277,63,1,1,0,1
350240,14,80,1,0,1,3655,32,D,2,3259,24,2,1,29,0
350241,9,40,14,0,0,,33,A,1,4025,36,2,2,0,1
350242,11,10,1,0,0,,51,B,2,5360,43,3,3,0,0
350243,8,40,6,0,1,3897,39,A,1,11148,33,1,1,0,1
350244,7,45,1,0,0,,46,D,4,16455,47,1,,0,0
350245,9,30,14,0,1,7717,42,B,3,14026,22,6,2,1,0
350246,7,25,1,1,0,,27,C,1,14721,48,2,1,0,0
350247,10,15,14,0,1,3009,39,B,2,2894,12,3,2,0,0
350248,9,30,10,0,0,,45,B,1,52623,35,4,3,0,1
350249,5,10,18,0,0,,42,B,1,8290,23,1,1,0,0
350250,14,85,1,0,1,2679,53,B,3,3185,23,3,,264,0
350251,10,90,17,1,0,,31,B,3,6422,47,6,1,0,0
350252,10,65,1,0,1,6893,41,B,1,15921,23,7,1,0,0
350253,8,25,3,0,0,,21,D,1,3373,59,1,1,0,0
350254,14,40,18,0,1,6340,40,B,1,6591,23,2,,0,0
350255,14,85,1,0,0,,39,B,2,1733,22,1,1,0,0
350256,4,15,3,0,0,,32,D,2,5379,45,2,1,0,0
350257,7,40,4,0,0,,49,B,2,3540,30,3,2,0,0
350258,10,10,1,0,1,3458,32,B,1,3507,22,2,1,271,0
350259,10,90,1,0,1,14529,45,B,1,12075,22,1,,30,0
350260,14,80,1,0,1,1687,26,D,2,4184,60,3,1,94,1
350261,14,80,15,0,0,,36,B,1,1826,22,4,,0,0
350262,14,80,14,0,1,6240,26,B,2,12936,36,1,1,0,1
350263,6,45,1,0,0,,57,B,1,1957,47,1,1,0,1
350264,7,35,2,0,0,,24,A,1,4082,31,1,1,0,0
350265,5,30,14,0,0,,34,B,3,4870,37,3,1,10,0
350266,10,90,1,0,1,3535,36,B,2,3387,47,6,2,0,0
350267,14,40,14,0,1,3626,54,B,2,4011,23,2,2,0,1
350268,10,65,1,0,1,4899,33,B,2,4952,23,2,,24,0
350269,10,30,14,0,1,6476,19,A,1,11899,11,1,1,0,0
350270,7,5,19,0,0,,52,C,1,1860,11,6,4,0,0
350271,7,5,19,0,0,,39,B,2,3656,35,2,1,0,0
350272,8,35,1,0,0,,37,B,2,7014,46,1,1,0,1
350273,7,5,19,0,0,,42,B,1,5289,47,8,6,0,0
350274,7,35,1,0,0,,48,B,1,11991,22,6,2,0,0
350275,10,45,14,0,1,1112,31,B,2,1411,12,5,,18,0
350276,8,10,17,0,0,,32,B,3,7313,23,4,,0,0
350277,10,20,14,0,0,,42,D,2,8414,11,1,,0,0
350278,9,55,14,0,1,1047,49,B,1,5190,24,6,1,18,0
350279,13,5,,0,1,5423,43,B,1,11117,22,1,,0,1
350280,14,35,1,0,1,3784,37,B,2,3853,23,5,,290,0
350281,9,90,14,0,1,6777,36,A,4,24075,36,3,2,0,0
350282,10,30,14,0,1,9294,45,B,2,6281,23,4,1,4,0
350283,9,25,14,0,1,26622,49,B,2,23081,22,9,1,6,0
350284,14,50,1,0,1,6489,35,D,2,7875,58,2,1,59,1
350285,10,95,17,0,1,2925,52,B,1,7079,35,13,1,28,0
350286,7,5,2,0,0,,36,B,2,6943,18,1,1,0,0
350287,10,20,,0,0,,28,B,2,1239,22,1,1,0,0
350288,8,30,18,0,0,,28,B,1,73362,23,3,2,326,0
350289,10,95,14,0,1,4485,34,B,2,14277,22,10,5,3,0
350290,9,35,,0,1,3371,21,B,2,4496,11,2,1,1029,1
350291,7,5,19,0,0,,51,B,3,1221,47,6,2,0,0
350292,9,75,14,0,0,,37,A,5,8555,23,5,1,40,0
350293,8,5,18,0,0,,53,B,1,61637,23,1,1,0,0
350294,7,5,19,0,0,,42,B,2,2154,22,5,2,0,0
350295,8,30,9,0,1,12733,42,A,2,9869,46,2,,219,0
350296,5,40,3,0,0,,44,D,3,6260,47,5,2,43,0
350297,10,30,1,0,1,1997,55,D,2,2063,13,1,1,0,0
350298,10,45,10,0,0,,34,D,2,6011,12,7,1,0,0
350299,4,15,19,0,0,,50,B,1,3182,21,2,1,12,0
350300,10,55,1,0,1,1403,37,B,1,1405,23,3,2,183,0
350301,10,5,14,0,1,1890,40,B,2,4448,23,8,2,0,0
350302,6,10,2,0,1,3354,25,A,2,6553,35,3,3,0,0
350303,10,30,14,0,0,,48,D,2,2277,11,2,2,0,0
350304,10,5,1,0,1,782,33,B,1,3640,35,8,1,74,0
350305,10,65,1,0,1,795,51,B,1,2497,23,10,1,26,0
350306,9,5,18,0,0,,45,B,3,17779,23,7,1,14,0
350307,10,25,2,0,1,2146,49,D,2,3110,11,3,1,0,0
350308,7,45,1,0,1,3713,43,A,4,3186,22,2,,192,0
350309,9,50,,0,0,,54,D,1,1619,24,2,1,121,0
350310,9,65,14,0,1,4153,51,B,4,9695,12,5,3,51,0
350311,14,60,14,0,1,1697,52,B,3,3601,23,5,3,0,0
350312,9,70,2,0,1,14558,45,B,1,18986,35,3,1,0,0
350313,8,30,3,0,1,12901,40,D,1,22371,36,3,1,0,0
350314,10,45,14,0,1,860,33,B,2,1285,13,15,4,0,0
350315,14,40,14,0,1,5067,46,B,3,3511,12,3,1,163,0
350316,10,15,14,0,1,582,27,B,1,2170,12,2,1,23,0
350317,10,5,14,0,1,4670,55,B,2,4297,11,7,2,0,0
350318,7,5,3,0,0,,45,B,2,6529,20,4,,330,0
350319,9,65,14,0,1,3697,34,D,2,4210,11,2,,34,0
350320,9,20,14,0,1,1642,47,B,1,2831,23,8,1,261,0
350321,10,55,14,0,1,2113,54,D,2,1931,11,5,,29,0
350322,8,40,17,0,1,5836,43,D,2,7420,24,12,3,53,0
350323,10,20,14,0,1,885,39,B,1,2649,18,2,1,0,0
350324,8,50,19,0,0,,24,D,1,3460,36,3,2,0,0
350325,10,25,1,0,0,,45,B,2,5522,13,4,,0,0
350326,14,80,14,0,1,2860,47,B,2,2654,22,2,,28,0
350327,9,15,14,0,1,9688,43,B,4,15699,35,2,1,0,0
350328,11,5,14,0,1,6706,29,A,2,7678,22,3,2,0,1
350329,7,15,14,0,0,,52,B,2,1564,33,5,1,0,0
350330,7,35,2,0,0,,31,C,2,16988,11,3,,6,1
350331,10,55,1,0,1,3209,31,B,1,4018,23,3,2,330,0
350332,7,15,19,0,0,,25,D,5,6044,47,4,2,0,0
350333,9,70,1,0,1,2062,54,B,1,2464,24,1,1,0,0
350334,13,5,1,0,0,,34,B,4,18350,24,10,3,6,0
350335,10,45,14,0,1,6088,51,B,3,6141,13,4,1,0,0
350336,7,15,1,0,0,,38,D,3,1498,24,4,2,0,0
350337,14,85,14,0,1,2983,46,A,5,2411,24,4,1,25,0
350338,14,50,1,0,1,1942,28,D,5,1675,23,7,1,71,0
350339,8,25,18,0,0,,42,B,2,26966,23,2,,0,0
350340,10,5,17,0,1,4275,52,D,3,4778,35,8,1,0,0
350341,9,55,14,0,1,2950,32,B,1,3810,23,1,,0,0
350342,9,80,18,0,0,,34,B,1,10895,24,1,1,0,0
350343,9,70,10,0,1,2828,36,B,1,8983,24,2,1,0,0
350344,8,70,9,0,1,5749,37,B,2,5367,47,1,1,0,0
350345,14,40,14,0,1,9885,47,A,13,9065,11,8,,131,0
350346,10,25,14,0,1,1467,61,B,2,2332,11,18,3,0,0
350347,10,65,14,0,1,1202,40,B,1,2112,12,2,1,0,0
350348,8,35,1,0,1,2401,33,B,2,2975,12,1,,0,0
350349,14,40,14,0,1,4721,28,B,1,3827,23,5,2,39,0
350350,8,25,1,0,1,10645,28,B,2,12559,47,1,1,0,0
350351,9,70,1,0,0,,27,C,1,1454,20,1,1,0,1
350352,13,20,8,0,0,,26,A,1,12500,23,1,,0,0
350353,10,15,1,0,1,3018,57,B,1,2920,22,2,1,0,0
350354,13,5,1,0,0,,47,B,2,16381,36,1,1,0,0
350355,12,5,9,0,0,,42,B,1,5897,22,1,1,0,0
350356,10,5,14,0,0,,43,D,3,6271,12,7,3,0,0
350357,10,70,1,0,1,2288,44,B,1,4542,24,4,1,22,0
350358,13,20,19,0,0,,34,B,3,7908,12,6,2,11,0
350359,10,95,14,0,1,1370,32,B,1,2119,23,4,3,42,0
350360,9,57,1,0,0,,49,B,1,2822,23,1,1,0,1
350361,8,50,19,0,0,,24,D,4,8351,34,2,2,0,0
350362,5,40,19,0,0,,47,B,2,13516,36,1,,0,1
350363,8,30,14,0,1,4938,36,B,1,6669,35,5,,0,0
350364,9,40,14,0,1,3842,49,B,4,7620,37,9,1,3,0
350365,9,20,14,0,1,1196,47,B,1,3007,24,8,,390,0
350366,12,15,1,0,1,1222,36,B,2,11201,37,2,,197,0
350367,11,5,,0,1,2585,39,B,1,12193,36,9,1,15,1
350368,10,5,19,0,1,1975,52,B,4,2482,23,4,1,0,0
350369,9,55,14,0,0,,36,B,1,3272,23,6,2,50,0
350370,10,70,14,0,1,4146,45,D,2,4392,22,3,2,18,0
350371,13,20,8,0,0,,42,B,1,5217,17,2,1,1842,1
350372,10,65,14,0,1,1141,55,B,1,15053,12,9,,11,0
350373,10,15,,1,0,,43,D,2,5272,11,3,,0,0
350374,10,55,14,0,0,,62,B,1,11522,11,3,2,0,0
350375,10,5,1,0,1,5229,50,B,2,8946,36,8,5,0,1
350376,7,5,1,0,0,,30,D,3,1425,23,5,1,0,0
350377,5,25,3,0,0,,32,A,1,13535,59,4,2,0,0
350378,7,10,18,0,0,,39,B,1,9958,20,1,1,0,0
350379,7,45,1,0,0,,62,B,1,7743,60,4,3,65,0
350380,10,5,2,0,1,3374,34,B,1,23306,47,10,1,0,0
350381,7,5,19,1,0,,56,B,1,1984,18,3,3,0,0
350382,10,5,14,0,1,653,66,B,1,12907,11,8,6,0,0
350383,9,20,1,0,1,1118,40,B,1,3563,47,3,,0,0
350384,6,10,2,0,0,,30,B,1,9270,24,3,1,0,0
350385,5,10,19,0,0,,37,B,1,8097,23,1,1,0,0
350386,8,15,9,0,0,,49,D,1,1784,23,5,3,50,0
350387,10,5,1,0,1,10732,26,B,2,11743,48,7,1,20,0
350388,5,15,19,0,1,44221,48,D,4,57048,57,13,2,0,0
350389,10,75,14,0,1,3681,28,B,1,10017,11,4,3,0,0
350390,10,5,1,0,1,9433,59,B,2,9592,48,7,1,63,0
350391,7,10,19,1,0,,45,D,2,3280,47,8,3,78,0
350392,7,30,,0,1,8428,54,B,1,27058,23,6,3,28,0
350393,14,40,14,0,1,414,25,A,2,3355,11,3,1,0,0
350394,5,25,18,0,0,,41,B,3,21507,18,3,3,0,0
350395,8,40,1,0,1,4243,45,D,2,4797,21,4,1,0,0
350396,10,5,17,0,1,7168,35,B,3,7977,36,2,1,0,0
350397,9,30,14,0,0,,27,B,3,5968,23,8,1,54,0
350398,9,95,14,0,1,8176,44,B,1,12942,35,9,3,371,0
350399,10,95,,1,0,,28,B,2,3826,13,3,2,131,0
350400,11,30,19,0,0,,53,B,2,3421,22,2,1,0,0
350401,14,40,1,0,1,4389,60,B,5,4876,22,11,,318,0
350402,8,15,7,0,0,,46,D,2,6378,47,4,2,40,1
350403,7,35,19,0,0,,25,A,1,1203,43,2,2,0,0
350404,10,65,14,0,1,1897,36,A,1,3855,24,1,,0,0
350405,9,10,18,0,0,,45,B,2,11672,23,3,,2095,0
350406,9,5,,0,1,9737,57,B,1,18579,23,13,1,219,0
350407,14,80,15,0,1,3409,37,B,1,2688,21,6,1,437,0
350408,7,35,19,0,1,1703,28,A,2,4542,23,5,1,21,0
350409,11,25,18,0,0,,39,B,2,82842,22,12,4,201,0
350410,7,5,19,0,0,,25,B,3,33519,47,10,3,6,0
350411,10,5,14,0,1,2508,41,B,3,1960,22,4,1,0,0
350412,8,20,8,0,0,,38,C,1,10209,35,2,,0,0
350413,11,15,18,0,0,,28,D,2,4558,24,2,,0,0
350414,4,15,3,0,0,,30,B,1,6981,47,3,2,117,0
350415,10,5,14,0,1,4285,36,B,2,6152,12,2,2,0,0
350416,9,40,1,0,0,,34,B,3,1506,24,1,1,0,0
350417,6,25,14,1,0,,35,A,1,7213,24,1,1,0,0
350418,4,15,19,0,0,,52,B,1,7556,47,3,2,0,0
350419,7,5,4,0,0,,40,B,2,3638,35,4,3,1,0
350420,14,85,1,0,1,504,37,B,2,1645,23,2,,43,0
350421,10,45,14,0,1,4418,38,B,2,5749,12,9,6,0,0
350422,7,50,19,0,0,,41,B,3,3706,46,4,2,0,0
350423,8,40,1,0,1,2504,41,D,2,3187,23,12,3,3,0
350424,9,57,14,0,0,,23,B,1,9528,35,1,1,0,0
350425,5,35,3,0,0,,46,B,2,6997,35,3,2,0,0
350426,10,5,1,1,0,,30,D,2,6932,48,7,2,0,0
350427,7,25,1,1,0,,35,D,1,10159,25,1,,0,1
350428,7,35,9,0,1,29944,26,A,1,23935,23,1,,0,0
350429,7,25,1,0,0,,32,D,2,3952,28,2,1,0,0
350430,11,25,1,0,1,10196,39,B,2,9011,47,2,,0,0
350431,6,25,1,0,1,4915,33,B,1,7471,20,4,3,5,0
350432,8,30,1,0,1,8842,43,B,1,7490,47,1,1,0,0
350433,10,65,14,0,1,2747,31,D,4,3133,11,3,1,0,0
350434,10,65,1,0,1,3503,54,B,1,5326,23,5,1,0,0
350435,11,35,1,0,1,2314,62,B,1,2439,18,2,,0,0
350436,4,20,19,0,0,,24,D,2,9571,46,1,1,0,0
350437,9,87,14,0,0,,43,B,3,5920,24,9,2,371,0
350438,14,40,1,0,1,3471,36,B,2,2587,13,3,2,15,0
350439,10,65,14,0,1,1238,52,B,1,1681,11,8,2,0,0
350440,10,30,1,0,1,5587,35,D,1,5759,23,4,,128,0
350441,8,35,17,0,1,3422,49,B,3,6609,47,6,3,94,0
350442,8,35,1,0,1,11757,41,B,1,14228,44,1,1,0,0
350443,10,5,14,0,1,1328,36,D,3,2218,24,3,2,0,0
350444,8,10,18,0,0,,51,D,2,5876,24,5,1,23,0
350445,8,15,2,0,0,,48,D,2,2152,34,4,2,22,0
350446,9,35,18,0,1,10432,56,B,2,10055,23,4,1,34,1
350447,11,10,1,0,0,,49,B,3,5008,21,4,1,0,0
350448,7,25,1,1,0,,22,C,3,23657,22,3,1,16,1
350449,14,40,14,0,1,9992,46,B,3,12264,11,5,1,2,0
350450,9,25,14,0,1,2408,41,B,1,2135,24,4,3,61,0
350451,9,70,1,0,1,3859,30,A,3,2746,18,1,,230,1
350452,14,60,1,0,0,,36,B,2,21025,35,3,3,0,1
350453,10,55,14,0,1,6053,35,B,1,10472,13,3,,0,0
350454,6,5,1,0,1,10445,25,A,2,9966,45,1,1,0,0
350455,9,35,14,0,1,3047,35,B,1,4133,23,1,1,0,1
350456,9,95,14,0,1,7313,63,B,1,12680,55,8,3,57,1
350457,10,45,,0,1,1603,45,B,1,1698,12,4,1,65,0
350458,10,65,14,0,1,2498,38,B,2,2960,11,6,,21,0
350459,8,15,3,0,0,,34,D,1,3862,59,1,1,0,1
350460,14,35,1,0,1,7100,30,B,1,11791,34,1,1,0,0
350461,5,5,19,0,1,2020,41,C,1,2161,22,7,1,35,0
350462,10,25,,0,1,7682,40,D,4,13310,17,22,1,18,0
350463,10,25,2,0,1,2395,57,B,1,2540,12,4,4,0,0
350464,9,5,18,0,0,,35,B,1,6363,23,1,,101,0
350465,10,45,14,0,0,,29,A,1,6526,12,14,2,0,0
350466,9,40,14,0,0,,31,B,2,3971,11,1,1,0,0
350467,7,15,19,0,0,,35,B,3,5793,35,10,,0,0
350468,10,45,10,0,0,,37,B,1,3022,12,6,1,60,0
350469,9,30,14,0,1,4605,36,B,1,7586,23,1,1,0,1
350470,6,5,,0,0,,51,B,1,4433,35,3,3,0,0
350471,6,10,1,0,1,10538,44,B,1,13911,47,4,,76,0
350472,10,5,14,0,1,2207,50,B,3,4939,23,4,1,12,0
350473,9,75,14,0,0,,43,A,4,8555,24,6,2,0,0
350474,10,30,14,0,1,514,52,B,1,1227,11,7,2,0,0
350475,9,25,1,0,1,5697,44,D,2,6067,20,4,4,0,1
350476,8,35,14,0,0,,64,D,1,2591,11,7,3,40,0
350477,11,15,19,0,1,5513,46,B,3,6759,23,7,2,0,0
350478,9,30,14,0,0,,41,B,2,12204,22,1,1,0,1
350479,10,15,1,0,0,,45,D,2,2587,22,11,1,0,0
350480,10,95,14,0,1,2963,34,B,1,3241,23,4,3,0,0
350481,10,15,,1,0,,43,B,1,4191,34,2,1,0,0
350482,7,25,3,0,1,9003,25,B,1,9432,35,1,1,0,1
350483,5,30,,0,1,11643,62,B,1,12052,23,1,1,0,1
350484,7,30,19,0,1,4812,54,B,1,7681,31,3,1,0,0
350485,8,65,1,0,0,,55,D,3,10899,47,3,1,0,0
350486,14,80,,0,1,3009,47,B,1,3912,23,2,2,0,0
350487,8,10,1,0,0,,41,B,2,4045,23,1,1,0,1
350488,10,30,1,0,1,3626,40,D,3,3002,36,3,3,0,0
350489,7,25,6,0,0,,28,C,3,5444,24,1,1,0,0
350490,9,25,14,0,1,11068,50,B,1,9776,47,6,3,0,0
350491,9,35,1,0,1,22017,28,C,1,16237,12,1,1,0,1
350492,4,20,3,0,0,,35,D,1,4736,22,2,1,0,0
350493,7,10,18,0,0,,34,B,2,28124,26,1,1,0,0
350494,10,5,1,0,1,2466,58,D,3,6240,23,6,,2,0
350495,10,45,10,0,1,1655,25,B,1,2356,12,9,4,125,0
350496,10,45,10,0,1,2947,32,D,4,3999,12,9,3,0,0
350497,11,15,19,0,0,,32,B,2,8613,24,4,2,100,0
350498,10,5,1,0,1,7930,21,D,2,11782,35,7,1,0,0
350499,6,45,17,0,0,,36,B,1,3987,12,1,1,0,0
350500,5,20,19,0,0,,47,B,1,1655,24,6,2,0,0
350501,11,15,19,0,1,21245,27,B,2,18427,24,2,1,0,0
350502,7,15,18,0,0,,41,B,5,3768,24,3,1,91,0
350503,7,30,19,1,0,,45,B,2,35550,52,4,4,0,1
350504,7,35,3,0,1,14869,45,B,2,15933,22,6,,19,0
350505,8,40,19,0,0,,29,A,1,8829,23,2,1,0,1
350506,10,15,17,1,0,,50,D,2,7168,24,3,1,0,0
350507,10,45,1,0,1,12988,26,A,2,17175,23,6,1,0,0
350508,10,90,1,0,1,4036,31,D,2,3037,34,2,,278,0
350509,8,35,1,0,1,7927,30,B,6,6550,47,1,,0,0
350510,5,40,3,0,0,,48,B,1,4402,38,1,1,0,0
350511,14,85,1,0,1,1134,40,B,2,2678,23,7,,98,0
350512,8,30,14,0,1,5148,42,B,1,6287,22,3,2,1,0
350513,9,75,14,0,0,,43,B,2,8975,22,2,1,0,0
350514,7,45,,1,0,,28,B,2,13875,23,2,2,0,0
350515,10,10,1,0,1,947,40,B,1,5315,34,4,,0,0
350516,7,5,1,0,0,,38,B,2,2547,23,10,1,0,0
350517,13,5,1,0,0,,47,B,1,17029,22,1,,0,0
350518,8,25,14,0,1,23261,38,D,2,34896,35,5,4,1,1
350519,10,15,1,0,1,1044,50,B,2,2800,22,6,1,37,0
350520,11,35,17,0,1,1535,45,B,1,4585,24,5,2,0,0
350521,14,40,3,0,0,,45,D,1,1487,24,1,,1,0
350522,10,25,14,1,0,,43,B,2,4254,12,5,2,5,0
350523,14,35,1,0,1,2385,40,B,3,2345,24,10,,256,0
350524,7,40,,1,0,,59,B,1,33711,23,5,2,28,0
350525,7,5,3,1,0,,41,B,2,8471,23,7,1,26,1
350526,9,15,14,0,0,,43,A,2,3430,21,2,,102,1
350527,10,25,1,0,1,18168,55,D,1,19639,23,8,,0,0
350528,9,10,14,0,1,13049,61,D,1,9973,23,1,1,0,0
